"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2025","992.45","997.65","999.00","990.00","20.00M","-0.41%"
"17-11-2025","996.55","991.25","997.95","985.60","18.40M","0.70%"
"14-11-2025","989.60","976.05","991.65","976.05","21.39M","0.30%"
"13-11-2025","986.65","984.00","990.10","982.60","14.12M","-0.29%"
"12-11-2025","989.50","998.80","999.00","987.70","13.14M","-0.22%"
"11-11-2025","991.70","983.50","993.50","978.00","10.20M","0.73%"
"10-11-2025","984.50","982.30","990.95","980.20","15.99M","0.22%"
"07-11-2025","982.30","980.00","984.90","974.75","15.00M","-0.24%"
"06-11-2025","984.65","981.00","991.05","974.00","22.28M","-0.06%"
"04-11-2025","985.25","987.00","997.00","983.70","20.02M","-0.75%"
"03-11-2025","992.65","985.00","994.55","983.30","16.61M","0.54%"
"31-10-2025","987.30","994.00","1,004.45","981.15","23.22M","-1.09%"
"30-10-2025","998.15","1,000.00","1,009.50","997.10","19.96M","-0.96%"
"29-10-2025","1,007.85","1,004.90","1,012.50","1,000.00","17.77M","0.43%"
"28-10-2025","1,003.55","997.65","1,008.00","995.00","33.90M","0.06%"
"27-10-2025","1,002.95","996.50","1,009.05","996.20","15.70M","0.82%"
"24-10-2025","994.75","1,011.00","1,011.95","991.30","17.71M","-1.39%"
"23-10-2025","1,008.80","1,016.00","1,020.50","1,006.00","43.53M","0.11%"
"21-10-2025","1,007.70","1,006.00","1,010.00","1,004.00","3.47M","0.47%"
"20-10-2025","1,002.95","997.00","1,020.00","997.00","22.20M","0.04%"
"17-10-2025","1,002.55","993.95","1,009.00","986.00","25.21M","0.82%"
"16-10-2025","994.35","982.65","996.60","981.50","22.94M","1.65%"
"15-10-2025","978.25","975.00","984.90","973.35","23.31M","0.11%"
"14-10-2025","977.15","970.00","980.45","967.00","22.93M","0.02%"
"13-10-2025","977.00","974.30","981.00","972.00","18.63M","-0.40%"
"10-10-2025","980.90","979.00","986.20","978.10","13.76M","0.39%"
"09-10-2025","977.10","974.50","979.00","970.15","15.37M","-0.16%"
"08-10-2025","978.70","976.00","985.90","974.55","15.94M","-0.39%"
"07-10-2025","982.50","974.00","989.85","971.00","25.54M","0.93%"
"06-10-2025","973.45","971.90","977.40","962.00","18.54M","0.86%"
"03-10-2025","965.15","952.00","966.75","952.00","26.66M","-0.01%"
"01-10-2025","965.25","952.70","969.60","946.00","25.35M","1.50%"
"30-09-2025","951.00","958.05","960.00","946.30","28.30M","0.07%"
"29-09-2025","950.30","946.05","956.80","939.10","32.40M","0.56%"
"26-09-2025","945.05","945.10","951.45","941.30","14.87M","-0.51%"
"25-09-2025","949.85","952.50","958.00","947.40","31.41M","-0.13%"
"24-09-2025","951.05","952.20","956.45","943.00","15.12M","-0.64%"
"23-09-2025","957.20","967.00","968.20","955.50","21.02M","-0.73%"
"22-09-2025","964.20","964.00","971.20","961.95","10.85M","-0.28%"
"19-09-2025","966.90","974.90","976.70","962.10","31.24M","-1.02%"
"18-09-2025","976.90","973.30","979.65","969.25","17.79M","1.08%"
"17-09-2025","966.50","965.15","974.40","964.35","17.36M","-0.04%"
"16-09-2025","966.85","961.20","969.35","961.20","18.66M","-0.02%"
"15-09-2025","967.05","969.60","972.35","965.00","14.49M","-0.03%"
"12-09-2025","967.30","969.90","970.75","962.25","14.36M","-0.05%"
"11-09-2025","967.80","960.30","969.25","959.90","15.11M","0.20%"
"10-09-2025","965.90","973.90","973.90","961.70","18.09M","0.08%"
"09-09-2025","965.15","974.00","974.40","962.70","13.99M","-0.09%"
"08-09-2025","966.00","969.00","973.15","960.45","11.71M","0.27%"
"05-09-2025","963.40","967.50","967.50","954.05","11.60M","0.22%"
"04-09-2025","961.25","960.20","965.70","956.25","17.60M","0.71%"
"03-09-2025","954.45","945.00","956.30","940.00","16.08M","1.05%"
"02-09-2025","944.50","951.00","954.80","944.00","14.20M","-0.64%"
"01-09-2025","950.60","949.60","957.45","946.35","20.18M","-0.11%"
"29-08-2025","951.60","954.00","963.30","950.10","14.82M","-0.65%"
"28-08-2025","957.80","967.00","972.20","955.00","25.44M","-1.60%"
"26-08-2025","973.40","979.50","985.70","968.00","16.92M","-0.88%"
"25-08-2025","982.05","980.10","988.70","978.50","17.52M","-0.03%"
"22-08-2025","982.30","994.95","998.00","978.55","19.83M","-1.34%"
"21-08-2025","995.60","998.75","998.75","991.60","12.44M","0.15%"
"20-08-2025","994.10","993.50","996.00","989.50","9.95M","-0.15%"
"19-08-2025","995.55","999.15","1,003.05","993.35","12.35M","-0.62%"
"18-08-2025","1,001.80","1,005.00","1,013.30","997.80","19.28M","0.63%"
"14-08-2025","995.55","989.00","998.00","985.60","17.51M","0.55%"
"13-08-2025","990.15","997.00","997.00","984.55","13.58M","0.53%"
"12-08-2025","984.95","995.95","998.00","983.75","12.94M","-1.29%"
"11-08-2025","997.80","987.95","998.80","986.55","9.11M","1.10%"
"08-08-2025","986.95","993.55","996.40","985.00","13.90M","-1.08%"
"07-08-2025","997.70","990.05","1,000.80","988.40","13.08M","0.51%"
"06-08-2025","992.65","985.55","994.00","985.00","14.08M","0.39%"
