"Date","Price","Open","High","Low","Vol.","Change %"
"04-10-2021","790.91","792.53","798.69","789.83","7.05M","0.19%"
"01-10-2021","789.39","789.54","792.53","780.68","11.13M","-0.77%"
"30-09-2021","795.50","791.03","801.18","789.59","15.98M","0.07%"
"29-09-2021","794.95","796.52","801.31","790.61","16.26M","-1.31%"
"28-09-2021","805.52","813.97","813.97","789.04","12.77M","-0.62%"
"27-09-2021","810.53","805.84","815.72","802.00","16.42M","1.47%"
"24-09-2021","798.79","787.54","801.98","785.55","20.81M","2.01%"
"23-09-2021","783.05","769.09","784.05","769.09","13.66M","2.37%"
"22-09-2021","764.95","772.58","773.15","763.10","10.58M","-1.18%"
"21-09-2021","774.05","779.06","782.38","762.58","14.77M","-0.51%"
"20-09-2021","777.99","780.06","788.89","777.07","8.78M","-1.41%"
"17-09-2021","789.11","782.55","792.53","777.67","20.50M","1.42%"
"16-09-2021","778.04","766.97","780.21","766.24","10.26M","0.85%"
"15-09-2021","771.48","765.60","775.47","765.60","14.82M","-0.11%"
"14-09-2021","772.35","778.06","780.31","771.38","9.76M","-0.45%"
"13-09-2021","775.84","779.06","790.03","774.90","8.96M","-0.83%"
"09-09-2021","782.35","785.05","787.76","778.56","8.25M","-0.49%"
"08-09-2021","786.24","784.02","788.29","780.86","6.72M","0.46%"
"07-09-2021","782.68","779.31","789.04","775.67","7.25M","0.23%"
"06-09-2021","780.91","788.01","788.51","779.04","7.88M","-0.66%"
"03-09-2021","786.07","791.08","797.02","782.20","10.74M","-0.81%"
"02-09-2021","792.53","785.10","794.02","783.68","9.62M","0.63%"
"01-09-2021","787.59","785.55","797.02","785.30","12.42M","-0.15%"
"31-08-2021","788.74","779.81","789.71","779.16","12.06M","0.84%"
"30-08-2021","782.18","775.87","783.05","773.87","9.05M","1.28%"
"27-08-2021","772.30","774.07","777.39","770.71","6.38M","-0.41%"
"26-08-2021","775.47","773.08","783.55","769.81","11.12M","-0.17%"
"25-08-2021","776.77","774.12","780.46","772.08","7.73M","-0.09%"
"24-08-2021","777.49","763.10","780.31","761.83","18.38M","2.25%"
"23-08-2021","760.41","763.03","764.67","752.45","10.84M","0.65%"
"20-08-2021","755.50","741.18","758.01","741.18","13.15M","0.12%"
"18-08-2021","754.62","776.42","780.73","752.30","22.99M","-0.11%"
"17-08-2021","755.45","756.72","760.11","750.78","8.28M","-1.04%"
"16-08-2021","763.40","761.18","765.60","758.84","6.25M","0.29%"
"13-08-2021","761.21","748.74","763.60","748.64","16.66M","1.65%"
"12-08-2021","748.84","746.64","751.93","742.80","8.60M","0.43%"
"11-08-2021","745.62","755.57","757.54","743.67","12.59M","-0.84%"
"10-08-2021","751.95","742.65","757.99","742.65","14.84M","0.25%"
"09-08-2021","750.08","744.15","751.80","736.17","11.00M","0.75%"
"06-08-2021","744.47","739.93","748.14","735.17","13.34M","0.53%"
"05-08-2021","740.58","731.73","751.65","726.89","18.82M","1.33%"
"04-08-2021","730.83","718.71","735.42","718.21","22.05M","2.13%"
"03-08-2021","715.57","703.25","718.16","703.25","12.03M","0.85%"
"02-08-2021","709.56","715.72","715.72","706.37","13.26M","-0.27%"
"30-07-2021","711.45","707.74","714.10","702.23","11.66M","0.58%"
"29-07-2021","707.36","712.35","713.20","704.90","13.70M","0.07%"
"28-07-2021","706.89","715.74","717.56","700.26","20.67M","-1.56%"
"27-07-2021","718.09","716.27","723.15","716.27","22.40M","0.36%"
"26-07-2021","715.49","713.23","720.21","712.28","13.17M","-0.57%"
"23-07-2021","719.58","723.95","726.92","715.87","13.13M","-0.41%"
"22-07-2021","722.55","726.24","732.43","720.71","13.21M","0.38%"
"20-07-2021","719.78","719.21","725.20","716.29","24.17M","-1.89%"
"19-07-2021","733.67","741.65","742.58","731.18","25.11M","-3.37%"
"16-07-2021","759.29","762.08","763.08","757.52","5.17M","0.11%"
"15-07-2021","758.46","750.63","761.48","747.96","10.44M","1.44%"
"14-07-2021","747.71","746.89","751.80","743.70","9.79M","-0.18%"
"13-07-2021","749.06","746.19","751.18","740.21","18.18M","1.00%"
"12-07-2021","741.65","749.14","749.14","740.16","14.46M","919.92%"
